,id,room,grid,speed,accuracy,rssi,lat,lon
0,471,1t,0,38.84,12.8195,-52.0,45.06480429,7.658683292999999
1,471,1t,1,36.87,17.796,-45.0,45.06481971,7.658693652999999
2,471,1t,2,78.9,20.299,-58.0,45.06483512,7.6587040129999995
3,471,1t,3,51.735,12.801,-56.5,45.06479565,7.65870886
4,471,1t,4,67.0,8.0,-57.0,45.06481107,7.658719221
5,471,1t,5,0.0,0.0,0.0,45.06482648,7.658729581
6,471,1t,6,49.715,11.8565,-54.5,45.06478701,7.658734428
7,471,1t,7,0.0,0.0,0.0,45.06480243,7.658744788
8,471,1t,8,33.36,17.722,-54.0,45.06481784,7.658755149
9,481,2t,0,8.26,18.533,-76.0,45.06473146,7.659006789
10,481,2t,1,34.32,800.0,-38.0,45.06471399,7.65899505
11,481,2t,2,49.2,12.0,-62.0,45.06469652,7.658983311
12,481,2t,3,6.02,19.482,-72.0,45.06474213,7.658975216
13,481,2t,4,27.1,18.117,-59.5,45.06472466,7.658963477
14,481,2t,5,9.31,21.996,-64.0,45.06470719,7.658951738
15,481,2t,6,6.14,18.169,-75.0,45.0647528,7.6589436420000006
16,481,2t,7,23.875,12.152000000000001,-63.0,45.06473533,7.658931902999999
17,481,2t,8,4.1,19.545,-72.0,45.06471786,7.658920165
18,482,study_room,0,0.0,0.0,0.0,45.06493514,7.658772685
19,482,study_room,1,0.0,0.0,0.0,45.06493174,7.658782736
20,482,study_room,2,0.0,0.0,0.0,45.06492835,7.658792787
21,482,study_room,3,0.0,0.0,0.0,45.0649258,7.6587664129999995
22,482,study_room,4,0.0,0.0,0.0,45.06492241,7.658776464
23,482,study_room,5,0.0,0.0,0.0,45.06491901,7.658786515
24,482,study_room,6,0.0,0.0,0.0,45.06491647,7.65876014
25,482,study_room,7,0.0,0.0,0.0,45.06491307,7.658770191
26,482,study_room,8,0.0,0.0,0.0,45.06490968,7.658780242000001
27,472,lab_1t,0,1.36,19.16,-71.0,45.06507478,7.658903303
28,472,lab_1t,1,0.0,0.0,0.0,45.06510435,7.658923174
29,472,lab_1t,2,4.01,21.373,-75.0,45.06513392,7.658943045
30,472,lab_1t,3,5.9,19.117,-69.0,45.06507023,7.65891678
31,472,lab_1t,4,6.09,20.753,-68.0,45.0650998,7.658936651
32,472,lab_1t,5,1.33,22.059,-74.0,45.06512937,7.658956522
33,472,lab_1t,6,11.6,18.069000000000003,-65.0,45.06506567,7.6589302560000005
34,472,lab_1t,7,15.12,21.664,-70.0,45.06509524,7.658950127000001
35,472,lab_1t,8,0.46,20.785,-69.0,45.06512481,7.658969998
36,478,lab_5t,0,22.23,18.090999999999998,-61.0,45.06518555,7.658977404
37,478,lab_5t,1,26.2,17.941,-59.0,45.06520315,7.6589892310000005
38,478,lab_5t,2,27.58,18.084,-59.0,45.06522075,7.659001057999999
39,478,lab_5t,3,13.72,17.982,-52.0,45.06517589,7.659006006
40,478,lab_5t,4,31.26,18.055,-53.0,45.06519349,7.659017832999999
41,478,lab_5t,5,29.84,18.041,-56.0,45.06521109,7.65902966
42,478,lab_5t,6,29.63,18.015,-47.0,45.06516622,7.659034608
43,478,lab_5t,7,18.26,18.03,-42.0,45.06518382,7.659046435
44,478,lab_5t,8,30.43,17.952,-54.0,45.06520142,7.659058262
45,477,7t,0,0.0,0.0,0.0,45.06528102,7.659048642999999
46,477,7t,1,0.0,0.0,0.0,45.06529869,7.659060521000001
47,477,7t,2,0.0,0.0,0.0,45.06531637,7.659072398999999
48,477,7t,3,0.0,0.0,0.0,45.06527162,7.659076439
49,477,7t,4,0.0,0.0,0.0,45.065289299999996,7.659088317
50,477,7t,5,0.0,0.0,0.0,45.06530697,7.659100195
51,477,7t,6,0.0,0.0,0.0,45.06526223,7.659104235
52,477,7t,7,0.0,0.0,0.0,45.0652799,7.659116113
53,477,7t,8,0.0,0.0,0.0,45.06529758,7.659127991
54,476,9t,0,31.04,17.977999999999998,-52.0,45.06537818,7.659118072
55,476,9t,1,0.0,0.0,0.0,45.06539563,7.659129804
56,476,9t,2,16.88,17.855999999999998,-57.0,45.06541309,7.659141536
57,476,9t,3,21.25,800.0,-76.0,45.06536873,7.659146027999999
58,476,9t,4,35.06,18.385,-56.0,45.06538619,7.65915776
59,476,9t,5,14.82,17.928,-64.0,45.06540364,7.659169492
60,476,9t,6,7.63,18.028,-70.0,45.06535928,7.659173984
61,476,9t,7,10.41,18.006,-78.0,45.06537674,7.6591857160000005
62,476,9t,8,9.67,17.993,-68.0,45.06539420000001,7.659197447
63,480,4t,0,13.34,18.324,-61.0,45.06532627,7.659407567000001
64,480,4t,1,0.0,0.0,0.0,45.06529989,7.659389835
65,480,4t,2,0.0,0.0,0.0,45.065273499999996,7.659372104
66,480,4t,3,47.93,8.0,-57.0,45.06533311,7.6593873189999995
67,480,4t,4,0.0,0.0,0.0,45.06530673,7.659369588
68,480,4t,5,98.52,17.942999999999998,-62.0,45.06528034,7.659351857000001
69,480,4t,6,0.0,0.0,0.0,45.06533995,7.659367072
70,480,4t,7,0.0,0.0,0.0,45.06531357,7.659349341
71,480,4t,8,0.0,0.0,0.0,45.06528719,7.659331609
