,id,room,grid,speed,accuracy,rssi,lat,lon,lat_user,lon_user
0,471,1t,0,38.84,12.8195,-52.0,45.06480429,7.658683292999999,45.0647,7.658675
1,471,1t,1,36.87,17.796,-45.0,45.06481971,7.658693652999999,45.0648,7.658639999999999
2,471,1t,2,78.9,20.299,-58.0,45.06483512,7.6587040129999995,45.0647,7.65878
3,471,1t,3,51.735,12.801,-56.5,45.06479565,7.65870886,45.0647,7.65868
4,471,1t,4,67.0,8.0,-57.0,45.06481107,7.658719221,45.0647,7.65877
5,471,1t,5,0.0,0.0,0.0,45.06482648,7.658729581,0.0,0.0
6,471,1t,6,49.715,11.8565,-54.5,45.06478701,7.658734428,45.0647,7.658675
7,471,1t,7,0.0,0.0,0.0,45.06480243,7.658744788,0.0,0.0
8,471,1t,8,33.36,17.722,-54.0,45.06481784,7.658755149,45.0647,7.65865
9,481,2t,0,8.26,18.533,-76.0,45.06473146,7.659006789,45.0647,7.658860000000001
10,481,2t,1,34.32,800.0,-38.0,45.06471399,7.65899505,45.0657,7.66707
11,481,2t,2,49.2,12.0,-62.0,45.06469652,7.658983311,45.0647,7.658710000000001
12,481,2t,3,6.02,19.482,-72.0,45.06474213,7.658975216,45.0647,7.658869999999999
13,481,2t,4,27.1,18.117,-59.5,45.06472466,7.658963477,45.0647,7.6589
14,481,2t,5,9.31,21.996,-64.0,45.06470719,7.658951738,45.0647,7.65875
15,481,2t,6,6.14,18.169,-75.0,45.0647528,7.6589436420000006,45.0647,7.65885
16,481,2t,7,23.875,12.152000000000001,-63.0,45.06473533,7.658931902999999,45.06465,7.658875
17,481,2t,8,4.1,19.545,-72.0,45.06471786,7.658920165,45.0647,7.658860000000001
18,482,study_room,0,0.0,0.0,0.0,45.06493514,7.658772685,0.0,0.0
19,482,study_room,1,0.0,0.0,0.0,45.06493174,7.658782736,0.0,0.0
20,482,study_room,2,0.0,0.0,0.0,45.06492835,7.658792787,0.0,0.0
21,482,study_room,3,0.0,0.0,0.0,45.0649258,7.6587664129999995,0.0,0.0
22,482,study_room,4,0.0,0.0,0.0,45.06492241,7.658776464,0.0,0.0
23,482,study_room,5,0.0,0.0,0.0,45.06491901,7.658786515,0.0,0.0
